Timestamp,Temperature,Gas,Humidity,Pressure,Altitude,Visible Light,IR Light
361.465,25.7,240319,44.1,1010.7,21.5,185.0,173.0
361.765,25.7,239644,44.1,1010.7,21.5,181.0,175.0
362.065,25.7,237973,44.1,1010.7,21.5,185.0,173.0
362.365,25.7,240319,44.1,1010.7,21.5,181.0,175.0
362.665,25.7,237973,44.1,1010.7,21.4,182.0,174.0
362.964,25.7,238472,44.1,1010.7,21.4,181.0,175.0
363.264,25.7,237642,44.1,1010.7,21.5,183.0,174.0
363.564,25.7,238139,44.0,1010.7,21.4,183.0,174.0
363.864,25.7,239308,44.1,1010.7,21.4,181.0,175.0
364.164,25.7,239644,44.0,1010.7,21.4,183.0,174.0
364.464,25.7,240997,44.1,1010.7,21.4,181.0,175.0
364.764,25.7,241168,44.1,1010.7,21.5,181.0,175.0
365.064,25.7,239476,44.1,1010.7,21.5,181.0,175.0
365.364,25.7,239308,44.1,1010.7,21.5,181.0,175.0
365.664,25.7,239308,44.1,1010.7,21.5,183.0,174.0
365.964,25.7,238973,44.1,1010.7,21.5,183.0,174.0
366.264,25.7,239812,44.1,1010.7,21.4,183.0,174.0
366.564,25.7,238305,44.1,1010.7,21.4,185.0,173.0
366.864,25.7,237973,44.1,1010.7,21.4,181.0,175.0
367.163,25.7,238638,44.1,1010.7,21.4,183.0,174.0
367.463,25.7,238305,44.1,1010.7,21.5,183.0,174.0
367.763,25.7,237973,44.1,1010.7,21.5,180.0,174.0
368.063,25.7,237973,44.1,1010.7,21.4,178.0,175.0
368.363,25.7,237642,44.1,1010.7,21.5,183.0,174.0
368.663,25.7,237476,44.1,1010.7,21.4,183.0,174.0
368.963,25.7,237807,44.1,1010.7,21.4,183.0,174.0
369.263,25.7,239644,44.2,1010.7,21.4,180.0,173.0
369.563,25.7,237311,44.2,1010.7,21.5,183.0,174.0
369.863,25.7,236653,44.2,1010.7,21.5,183.0,174.0
370.163,25.7,237146,44.2,1010.7,21.5,183.0,174.0
370.463,25.7,236982,44.2,1010.7,21.5,183.0,174.0
370.763,25.7,237476,44.2,1010.7,21.4,180.0,174.0
371.062,25.7,236817,44.2,1010.7,21.4,181.0,173.0
371.362,25.7,236982,44.2,1010.7,21.4,176.0,175.0
371.662,25.7,236653,44.2,1010.7,21.4,178.0,174.0
371.962,25.7,237642,44.2,1010.7,21.4,178.0,174.0
372.262,25.7,237642,44.2,1010.7,21.4,179.0,174.0
372.562,25.7,237311,44.2,1010.7,21.4,181.0,173.0
372.862,25.7,236982,44.2,1010.7,21.5,179.0,174.0
373.162,25.7,237807,44.2,1010.7,21.4,179.0,174.0
373.462,25.7,237311,44.2,1010.7,21.4,179.0,174.0
373.762,25.7,237476,44.2,1010.7,21.5,179.0,174.0
374.062,25.7,238139,44.2,1010.7,21.5,180.0,173.0
374.362,25.7,237146,44.2,1010.7,21.5,170.0,166.0
374.662,25.7,238638,44.2,1010.7,21.5,140.0,140.0
374.962,25.7,238305,44.2,1010.7,21.5,148.0,146.0
375.261,25.7,238305,44.2,1010.7,21.5,147.0,145.0
375.561,25.7,237642,44.2,1010.7,21.4,146.0,142.0
375.861,25.7,237146,44.2,1010.7,21.4,146.0,144.0
376.161,25.7,237146,44.2,1010.7,21.4,137.0,136.0
376.461,25.7,236982,44.2,1010.7,21.4,160.0,154.0
376.761,25.7,235999,44.2,1010.7,21.4,161.0,159.0
377.061,25.7,235510,44.2,1010.7,21.4,160.0,156.0
377.361,25.7,234217,44.2,1010.7,21.4,160.0,156.0
377.661,25.7,236162,44.2,1010.7,21.3,159.0,156.0
377.961,25.7,236653,44.2,1010.7,21.3,160.0,157.0
378.261,25.7,236817,44.2,1010.7,21.4,161.0,156.0
378.561,25.7,236817,44.2,1010.7,21.4,158.0,154.0
378.861,25.7,237642,44.2,1010.7,21.4,153.0,151.0
379.161,25.7,236982,44.2,1010.7,21.4,172.0,165.0
379.46,25.7,238305,44.2,1010.7,21.5,171.0,164.0
379.76,25.7,238472,44.2,1010.7,21.4,168.0,162.0
380.06,25.7,237476,44.2,1010.7,21.4,169.0,164.0
380.36,25.7,237476,44.2,1010.7,21.5,172.0,168.0
380.66,25.7,238805,44.2,1010.7,21.5,171.0,167.0
380.96,25.7,237146,44.2,1010.7,21.5,172.0,167.0
381.26,25.7,238472,44.1,1010.7,21.5,171.0,167.0
